subject,window,window_index,status,status_name,label_major,t_start_sec,t_end_sec,major_ratio,bvp_missing_ratio,acc_missing_ratio,missing_flag,flatline_flag,clipping_ratio,clipping_flag,n_peaks,peak_sparse_flag,ibi_pass_ratio,valid_beat_ratio,ibi_plausibility,ibi_mean_sec,median_template_corr,notch_foot_peak_detectability,acc_diff_mean,acc_diff_exceed_ratio,acc_diff_flag,psd_corr_x,psd_corr_y,psd_corr_z,psd_corr_mag,psd_corr_max,psd_corr_flag,motion_score_raw,motion_score,SQI_stress_basic,SQI_stress_morph,hard_reject,motion_threshold_subject_p80,qc_relaxed_pass,TPV22,TPV9,TPV4,TPV2,TPV0,TPV28,TPV8,TPV19,TPV14,TPV26,TPV11,acc_diff_threshold_subject,acc_diff_flag_subject
S10,window1,1,0,baseline,1,120.0,180.0,1.0,0.0,0.0,0,0,0.0216145833333333,0,91,0,1.0,0.7666666666666667,1.0,0.6638888888888889,0.9635779305576436,1.0,0.4764614105224609,0.5033871808233454,1,0.7440919792622503,0.8276812172509204,0.655674290554356,0.7017147796105332,0.8276812172509204,0,0.5780583620071411,0.5780583620071411,0.7379342096332457,0.3428361206322698,1,1.0,0,966.0,0.0049349768087267,0.0060886833816766,0.0414830148220062,0.0353943295776844,0.0086816623806953,0.001899229362607,0.0143232559785246,0.0119193196296691,5.86156177520752,26.19812393188477,1.3115599155426025,0
S10,window2,2,0,baseline,1,180.0,240.0,1.0,0.0,0.0,0,0,0.02109375,0,95,0,1.0,0.8723404255319149,1.0,0.6316489361702128,0.988654171181646,1.0,0.4095671474933624,0.276706618030224,1,0.771530647332469,0.7957953505463166,0.6559857837557562,0.6145144968373115,0.7957953505463166,0,0.6646443605422974,0.6646443605422974,0.77906798551303,0.2942213099126884,1,1.0,0,906.0,0.0031651135068386,0.0054929261095821,0.04128123447299,0.0357883088290691,0.0084541179239749,0.0012497589923441,0.0104011632502079,0.0087544480338692,5.543713092803955,31.082847595214844,1.3115599155426025,0
S10,window3,3,0,baseline,1,240.0,300.0,1.0,0.0,0.0,0,0,0.0221354166666666,0,98,0,1.0,0.8969072164948454,1.0,0.6121134020618557,0.9848194924972908,0.998960256576538,0.1936546117067337,0.273058884835852,1,0.6824516176650709,0.465314768180755,0.618098293549804,0.0335968410628132,0.6824516176650709,0,0.2121333926916122,0.2121333926916122,0.8329953950779642,0.7528837095252985,1,1.0,0,937.0,0.0056926365941762,0.0066872094757854,0.0425803363323211,0.0358931273221969,0.0090863704681396,0.0025711767375469,0.0234192460775375,0.019176522269845,5.85935640335083,65.9618911743164,1.3115599155426025,0
S10,window4,4,0,baseline,1,300.0,360.0,1.0,0.0,0.0,0,0,0.0205729166666666,0,97,0,1.0,0.90625,1.0,0.6188151041666666,0.9651828104953686,1.0,0.461210548877716,0.5184992183428869,1,0.562681124193753,0.7071582952325448,0.5177532580735291,0.4648058025633163,0.7071582952325448,0,0.773216724395752,0.773216724395752,0.7747331707090354,0.1899539782280901,1,1.0,0,959.0,0.0047265854664146,0.005648395512253,0.0423758439719677,0.0367274470627307,0.00769629701972,0.0021863612346351,0.0175516512244939,0.0144703332334756,5.852874279022217,64.34534454345703,1.3115599155426025,0
S10,window5,5,0,baseline,1,360.0,420.0,1.0,0.0,0.0,0,0,0.0216145833333333,0,96,0,1.0,0.7789473684210526,1.0,0.6223684210526316,0.9325638457652036,0.9581897854804992,0.55794358253479,0.4919228764981761,1,0.7820360075711055,0.7024149392159098,0.5938166505096393,0.6720271131485873,0.7820360075711055,0,0.6778569221496582,0.6778569221496582,0.7235624088830164,0.2285156961880832,1,1.0,0,944.0,0.0032368963584303,0.0052094268612563,0.0384133569896221,0.0332039296627044,0.0079099433496594,0.0013262471184134,0.0095094200223684,0.0079002697020769,5.6092376708984375,69.71685028076172,1.3115599155426025,0
S10,window6,6,0,baseline,1,420.0,480.0,1.0,0.0,0.0,0,0,0.02265625,0,103,0,1.0,0.8725490196078431,1.0,0.5776654411764706,0.9711584430206815,0.9917521476745604,0.6060914993286133,0.5372589890568004,1,0.6825923855519483,0.6540862484105958,0.5971133992253062,0.6521459804529243,0.6825923855519483,0,0.7205711007118225,0.7205711007118225,0.7683100306781596,0.231921252844341,1,1.0,0,912.0,0.0036741001531481,0.0064700441434979,0.03956900537014,0.0330989621579647,0.0098299412056803,0.00161176151596,0.0118692833930253,0.0100876092910766,5.528491973876953,63.41962432861328,1.3115599155426025,0
S10,window7,7,0,baseline,1,480.0,540.0,1.0,0.0,0.0,0,0,0.0216145833333333,0,86,0,0.976470588235294,0.7529411764705882,0.976470588235294,0.6996323529411764,0.7756971086805947,0.975342571735382,0.6662099361419678,0.539343408025013,1,0.8743428465316754,0.8211332218391239,0.8451495779804903,0.8529058101195919,0.8743428465316754,0,1.0090755224227903,1.0,0.6291797208394726,-0.1410636093077705,1,1.0,0,923.0,0.0034864624030888,0.0058916555717587,0.0393476337194442,0.0334559790790081,0.0089839184656739,0.0014670444652438,0.0095701459795236,0.0077531086280941,5.591190814971924,27.36176300048828,1.3115599155426025,0
S10,window8,8,0,baseline,1,540.0,600.0,1.0,0.0,0.0,0,0,0.0216145833333333,0,100,0,1.0,0.9494949494949496,1.0,0.601010101010101,0.9774795144653744,1.0,0.8464753031730652,0.5888483585200626,1,0.7018557188783832,0.8451775909627746,0.7101330233550514,0.4326188675855196,0.8451775909627746,0,1.3975465297698977,1.0,0.7730418341375921,-0.0207816365351716,1,1.0,0,912.0,0.0046072010882198,0.0073371934704482,0.0461953431367874,0.0388581492006778,0.0108782248571515,0.0020905365236103,0.0164175070822238,0.0137403029948472,5.567196369171143,72.10059356689453,1.3115599155426025,0
S10,window9,9,0,baseline,1,600.0,660.0,1.0,0.0,0.0,0,0,0.0216145833333333,0,99,0,1.0,0.8163265306122449,1.0,0.6050701530612245,0.9376922280487884,0.9743512272834778,1.3079230785369873,0.6873371547681084,1,0.7327496897886144,0.8492226187767775,0.7766334024183418,0.6352258191681501,0.8492226187767775,0,1.9325796365737915,1.0,0.7078382806595344,-0.07709117698326,1,1.0,0,986.0,0.005119280423969,0.0058325752615928,0.0403405986726284,0.0345080234110355,0.0080562615767121,0.0020830980502068,0.0171669591218233,0.0143161285668611,5.930973052978516,77.78238677978516,1.3115599155426025,0
S10,window12,12,0,baseline,1,780.0,840.0,1.0,0.0,0.0,0,0,0.0221354166666666,0,89,0,0.9886363636363636,0.8181818181818182,0.9886363636363636,0.6750710227272727,0.8992756516380699,1.0,0.7587186098098755,0.6565919749869724,1,0.7361348290849486,0.6394049901325254,0.7048843084858015,0.6433533724206011,0.7361348290849486,0,1.1041884422302246,1.0,0.694782695491421,-0.0819992689086643,1,1.0,0,970.0,0.0060143265873193,0.007878029718995,0.0487219393253326,0.0408439077436924,0.0114638460800051,0.0024291793815791,0.0192929096519947,0.0156455636024475,5.719175338745117,53.11857986450195,1.3115599155426025,0
S10,window13,13,0,baseline,1,840.0,900.0,1.0,0.0,0.0,0,0,0.02265625,0,88,0,0.9770114942528736,0.735632183908046,0.9770114942528736,0.6799568965517241,0.7669238210668112,0.9536418318748474,1.035012125968933,0.6086503387180824,1,0.7441995123302473,0.8843359917467214,0.6599450230627938,0.7801861035847125,0.8843359917467214,0,1.2675840854644775,1.0,0.6197323187338365,-0.1537666327415968,1,1.0,0,934.0,0.008087245747447,0.0081992018967866,0.0470655784010887,0.0388663746416568,0.0111689902842044,0.0028785900212824,0.0265061911195516,0.0218887962400913,5.962247848510742,14.628581047058104,1.3115599155426025,0
S10,window14,14,0,baseline,1,900.0,960.0,1.0,0.0,0.0,0,0,0.0221354166666666,0,95,0,1.0,0.851063829787234,1.0,0.6298204787234043,0.9291311238913024,1.0,0.5301247239112854,0.3621677957269411,1,0.6666665423028235,0.7643503921151565,0.7496112167398807,0.6991201451237608,0.7643503921151565,0,0.8441691398620605,0.8441691398620605,0.7347479550960783,0.0934327900469352,1,1.0,0,959.0,0.0045661893673241,0.0069311447441577,0.0447341725230217,0.0378030240535736,0.010247359983623,0.0021500382572412,0.0161185041069984,0.0135486051440238,5.617876529693604,121.20600128173828,1.3115599155426025,0
