subject,window,window_index,window_sec,noise,alpha,status,status_name,phase,t_start_sec,t_end_sec,major_ratio,subject_total_duration_sec,task4_duration_sec,n_peaks,n_ibi,ibi_pass_ratio,valid_ibi_count,ibi_mean_sec,ibi_std_sec,RMSSD,SDNN,LF,HF,LF_HF
subject_01,window1,1,60,alpha_0.01,0.01,0,normal,Rest1,0.0,60.0,1.0,2505.765625,585.765625,77,76,0.9868421052631579,54,0.7696759259259259,0.11569009308506735,0.16279058289629958,0.11569009308506735,0.0010029287401159158,0.00425869607895551,0.2355013650943353
subject_01,window2,2,60,alpha_0.01,0.01,0,normal,Rest1,60.0,120.0,1.0,2505.765625,585.765625,84,83,1.0,56,0.6827566964285714,0.10414469999835388,0.11595468967151859,0.10414469999835388,0.0036871950798110873,0.0038259693969551448,0.9637283253612798
subject_01,window3,3,60,alpha_0.01,0.01,0,normal,Rest1,120.0,180.0,1.0,2505.765625,585.765625,77,76,0.9736842105263158,58,0.7693965517241379,0.1123109022297529,0.17839266976866786,0.1123109022297529,0.001156906961685333,0.0035394113420154916,0.3268642296395369
subject_01,window4,4,60,alpha_0.01,0.01,1,stress,Task1,180.0,240.0,1.0,2505.765625,585.765625,84,83,1.0,44,0.7024147727272727,0.11950615942168451,0.1531672639822686,0.11950615942168451,0.004245920531334942,0.0017967343727280937,2.3631320220629473
subject_01,window5,5,60,alpha_0.01,0.01,1,stress,Task1,240.0,300.0,1.0,2505.765625,585.765625,77,76,0.9736842105263158,41,0.758765243902439,0.09912493346936664,0.11012577149275732,0.09912493346936664,0.0009040963330746167,0.0020258859606324944,0.44627207584396905
subject_01,window6,6,60,alpha_0.01,0.01,1,stress,Task1,300.0,360.0,1.0,2505.765625,585.765625,79,78,1.0,65,0.7802884615384615,0.08348789906292306,0.12300036323307648,0.08348789906292306,0.0025514541718042426,0.0010235483752842629,2.4927538682240056
subject_01,window7,7,60,alpha_0.01,0.01,1,stress,Task1,360.0,420.0,1.0,2505.765625,585.765625,79,78,1.0,46,0.7336956521739131,0.11105830655075961,0.15804524229191816,0.11105830655075961,0.005698489345231929,0.0025182805377750527,2.2628492972695766
subject_01,window8,8,60,alpha_0.01,0.01,1,stress,Task1,420.0,480.0,1.0,2505.765625,585.765625,78,77,1.0,51,0.7463235294117647,0.10532088333267352,0.16150536949278188,0.10532088333267352,0.0026471226782274456,0.0020363172826080513,1.2999559061037353
subject_01,window9,9,60,alpha_0.01,0.01,1,stress,Task1,480.0,540.0,1.0,2505.765625,585.765625,83,82,1.0,51,0.6881127450980392,0.11895464115068384,0.16929887588226922,0.11895464115068384,0.005197185695718676,0.0037358584661348173,1.3911623641073783
subject_01,window10,10,60,alpha_0.01,0.01,1,stress,Task1,540.0,600.0,1.0,2505.765625,585.765625,80,79,1.0,55,0.7613636363636364,0.10977825602489671,0.15764711034606047,0.10977825602489671,0.003069945245234651,0.0033324401439023548,0.9212304235537395
subject_01,window11,11,60,alpha_0.01,0.01,1,stress,Task1,600.0,660.0,1.0,2505.765625,585.765625,90,89,1.0,49,0.6074617346938775,0.10377100600011811,0.16308301363396954,0.10377100600011811,0.0018417857750733894,0.0019180496409201006,0.9602388466806694
subject_01,window12,12,60,alpha_0.01,0.01,1,stress,Task1,660.0,720.0,1.0,2505.765625,585.765625,88,87,1.0,63,0.6847718253968254,0.11510769099254917,0.16048936393886046,0.11510769099254917,0.0015863226627775824,0.0029005981586508697,0.546895011308776
subject_01,window13,13,60,alpha_0.01,0.01,1,stress,Task1,720.0,780.0,1.0,2505.765625,585.765625,82,81,1.0,53,0.6757075471698113,0.10148448837984785,0.1447381899493278,0.10148448837984785,0.0016131501165450074,0.003011755366052395,0.5356179106470441
subject_01,window14,14,60,alpha_0.01,0.01,0,normal,Rest2,780.0,840.0,1.0,2505.765625,585.765625,78,77,0.961038961038961,42,0.7165178571428571,0.11151037471561867,0.1413430178829796,0.11151037471561867,0.005191833814201502,0.0009481242576340492,5.475900202318641
subject_01,window15,15,60,alpha_0.01,0.01,0,normal,Rest2,840.0,900.0,1.0,2505.765625,585.765625,78,77,1.0,50,0.7690625,0.11238231691974497,0.1431358887667982,0.11238231691974497,0.005348285198847707,0.0009954471408742272,5.372746557040393
subject_01,window16,16,60,alpha_0.01,0.01,1,stress,Task2,900.0,960.0,1.0,2505.765625,585.765625,75,74,0.9594594594594594,46,0.7707201086956522,0.13861234648601023,0.2054091656845483,0.13861234648601023,0.006581932329184872,0.0049317055877589,1.3346158265250134
subject_01,window17,17,60,alpha_0.01,0.01,1,stress,Task2,960.0,1020.0,1.0,2505.765625,585.765625,80,79,0.9873417721518988,55,0.7428977272727273,0.13509710121315835,0.20511842361995017,0.13509710121315835,0.0023631274002689877,0.0031899119522734902,0.74081273578249
subject_01,window18,18,60,alpha_0.01,0.01,1,stress,Task2,1020.0,1080.0,1.0,2505.765625,585.765625,85,84,1.0,55,0.7321022727272727,0.11483599741219168,0.16888979549053085,0.11483599741219168,0.0020889019714531525,0.0025068582463423587,0.8332748668581373
subject_01,window19,19,60,alpha_0.01,0.01,1,stress,Task2,1080.0,1140.0,1.0,2505.765625,585.765625,89,88,0.9886363636363636,49,0.6536989795918368,0.1103657270077009,0.14316996882711938,0.1103657270077009,0.004394448908871668,0.001252149916401648,3.509522982280082
subject_01,window20,20,60,alpha_0.01,0.01,1,stress,Task2,1140.0,1200.0,1.0,2505.765625,585.765625,88,87,1.0,42,0.6930803571428571,0.1106337762910589,0.1544677316034236,0.1106337762910589,0.002132198215063527,0.002141393931829791,0.9957057332471254
subject_01,window21,21,60,alpha_0.01,0.01,0,normal,Rest3,1200.0,1260.0,1.0,2505.765625,585.765625,79,78,0.9743589743589743,38,0.6924342105263158,0.09396256488291883,0.13045022576456902,0.09396256488291883,0.0033853059842219044,0.0012738551968926534,2.657528102471745
subject_01,window22,22,60,alpha_0.01,0.01,0,normal,Rest3,1260.0,1320.0,1.0,2505.765625,585.765625,75,74,0.972972972972973,49,0.8003826530612245,0.09998730916972454,0.14830037525941508,0.09998730916972454,0.0011664485542275448,0.0021289261410653024,0.5479046603485551
subject_01,window23,23,60,alpha_0.01,0.01,1,stress,Task3,1320.0,1380.0,1.0,2505.765625,585.765625,82,81,1.0,48,0.7314453125,0.1284776749470435,0.17742197490967984,0.1284776749470435,0.00868194314439106,0.0007678201434301128,11.307261496951458
