subject,window,window_index,window_sec,status,status_name,phase,t_start_sec,t_end_sec,major_ratio,subject_total_duration_sec,task4_duration_sec,n_ibi,ibi_pass_ratio,valid_ibi_count,ibi_mean_sec,ibi_std_sec,RMSSD,SDNN,LF,HF,LF_HF
subject_01,window1,1,60,0,normal,Rest1,0.0,60.0,1.0,2505.75,585.75,11,1.0,11,0.828125,0.02402206608705648,0.025674494883054663,0.02402206608705648,7.960817614526283e-07,1.7319972443829947e-07,4.596322332696458
subject_01,window2,2,60,0,normal,Rest1,60.0,120.0,1.0,2505.75,585.75,16,1.0,16,0.796875,0.034938562148434216,0.05166498653182185,0.034938562148434216,0.0,0.00017967664972431746,0.0
subject_01,window3,3,60,0,normal,Rest1,120.0,180.0,1.0,2505.75,585.75,53,1.0,53,0.777122641509434,0.0441055865584388,0.033777032443260566,0.0441055865584388,0.001267697051698117,0.0002861791170700431,4.429732905311343
subject_01,window4,4,60,1,stress,Task1,180.0,240.0,1.0,2505.75,585.75,5,1.0,5,0.85,0.012499999999999999,0.017469281074217108,0.012499999999999999,,0.0,
subject_01,window5,5,60,1,stress,Task1,240.0,300.0,1.0,2505.75,585.75,0,,0,,,,,,,
subject_01,window6,6,60,1,stress,Task1,300.0,360.0,1.0,2505.75,585.75,31,1.0,31,0.7847782258064516,0.03142834126637076,0.02282177322938192,0.03142834126637076,0.0004716402411965165,8.51600666084917e-05,5.538279383514327
subject_01,window7,7,60,1,stress,Task1,360.0,420.0,1.0,2505.75,585.75,13,1.0,13,0.8040865384615384,0.02782653101632266,0.03522851369392886,0.02782653101632266,1.0280483152201244e-05,3.00292620330035e-06,3.423488443006869
subject_01,window8,8,60,1,stress,Task1,420.0,480.0,1.0,2505.75,585.75,7,1.0,7,0.7232142857142857,0.024654823699078704,0.030592031574142527,0.024654823699078704,,0.0,
subject_01,window9,9,60,1,stress,Task1,480.0,540.0,1.0,2505.75,585.75,2,1.0,2,0.75,0.03125,0.0625,0.03125,,,
subject_01,window10,10,60,1,stress,Task1,540.0,600.0,1.0,2505.75,585.75,14,1.0,14,0.8102678571428571,0.05244348269853005,0.07727907406576207,0.05244348269853005,0.0,0.0007722648960251014,0.0
subject_01,window11,11,60,1,stress,Task1,600.0,660.0,1.0,2505.75,585.75,1,,0,,,,,,,
subject_01,window12,12,60,1,stress,Task1,660.0,720.0,1.0,2505.75,585.75,0,,0,,,,,,,
subject_01,window13,13,60,1,stress,Task1,720.0,780.0,1.0,2505.75,585.75,1,,0,,,,,,,
subject_01,window14,14,60,0,normal,Rest2,780.0,840.0,1.0,2505.75,585.75,5,1.0,5,0.834375,0.027243118397129208,0.03314563036811941,0.027243118397129208,,0.0,
subject_01,window15,15,60,0,normal,Rest2,840.0,900.0,1.0,2505.75,585.75,4,1.0,4,0.8203125,0.0078125,0.009021097956087902,0.0078125,3.1586876868454993e-06,1.280505404146938e-08,246.6750766233424
subject_01,window16,16,60,1,stress,Task2,900.0,960.0,1.0,2505.75,585.75,7,1.0,7,0.8191964285714286,0.02751970537039721,0.030592031574142527,0.02751970537039721,,0.0,
subject_01,window17,17,60,1,stress,Task2,960.0,1020.0,1.0,2505.75,585.75,0,,0,,,,,,,
subject_01,window18,18,60,1,stress,Task2,1020.0,1080.0,1.0,2505.75,585.75,0,,0,,,,,,,
subject_01,window19,19,60,1,stress,Task2,1080.0,1140.0,1.0,2505.75,585.75,0,,0,,,,,,,
subject_01,window20,20,60,1,stress,Task2,1140.0,1200.0,1.0,2505.75,585.75,0,,0,,,,,,,
subject_01,window21,21,60,0,normal,Rest3,1200.0,1260.0,1.0,2505.75,585.75,3,1.0,3,0.7552083333333334,0.0820209153542897,0.11267347735824966,0.0820209153542897,,,
subject_01,window22,22,60,0,normal,Rest3,1260.0,1320.0,1.0,2505.75,585.75,8,1.0,8,0.896484375,0.02916637602161734,0.038273277230987154,0.02916637602161734,6.812129014684555e-05,5.614664795754346e-07,121.32743917029025
subject_01,window23,23,60,1,stress,Task3,1320.0,1380.0,1.0,2505.75,585.75,10,1.0,10,0.85,0.03840064289826409,0.040343576522993925,0.03840064289826409,0.0005573845490617374,0.00011406542131712938,4.886533908572292
subject_01,window24,24,60,1,stress,Task3,1380.0,1440.0,1.0,2505.75,585.75,2,1.0,2,0.890625,0.046875,0.09375,0.046875,0.0,4.5057484082002e-06,0.0
subject_01,window25,25,60,1,stress,Task3,1440.0,1500.0,1.0,2505.75,585.75,3,1.0,3,0.7864583333333334,0.02655739329996242,0.05524271728019903,0.02655739329996242,,,
subject_01,window26,26,60,0,normal,Rest4,1500.0,1560.0,1.0,2505.75,585.75,3,1.0,3,0.8541666666666666,0.01473139127471974,0.03125,0.01473139127471974,,,
subject_01,window27,27,60,0,normal,Rest4,1560.0,1620.0,1.0,2505.75,585.75,12,1.0,12,0.7916666666666666,0.06880127507095263,0.08661279101946674,0.06880127507095263,5.215685721916711e-05,4.4069562584956815e-07,118.35120241690554
subject_01,window28,28,60,1,stress,Task4,1620.0,1680.0,1.0,2505.75,585.75,23,1.0,23,0.8600543478260869,0.06918683182866311,0.07043077174044414,0.06918683182866311,0.000576714157885567,0.000795096414817575,0.7253386471600265
subject_01,window29,29,60,1,stress,Task4,1680.0,1740.0,1.0,2505.75,585.75,36,1.0,36,0.8368055555555556,0.06674438467618433,0.07081910746502569,0.06674438467618433,0.00015098345384615701,0.0002059470046422311,0.7331179888168018
subject_01,window30,30,60,1,stress,Task4,1740.0,1800.0,1.0,2505.75,585.75,7,1.0,7,0.7946428571428571,0.05503941074079444,0.05063078670631141,0.05503941074079444,6.8119662825618645e-06,2.204320269092206e-07,30.90279746584738
subject_01,window31,31,60,1,stress,Task4,1800.0,1860.0,1.0,2505.75,585.75,9,1.0,9,0.7517361111111112,0.07418701603896354,0.11899645477912357,0.07418701603896354,0.0,0.00042946602242822625,0.0
subject_01,window32,32,60,1,stress,Task4,1860.0,1920.0,1.0,2505.75,585.75,12,1.0,12,0.7578125,0.061350098903071595,0.08519175396235142,0.061350098903071595,0.00014722334891654093,1.72492217461369e-05,8.535071963435843
subject_01,window33,33,60,1,stress,Task4,1920.0,1980.0,1.0,2505.75,585.75,7,1.0,7,0.7544642857142857,0.03801202313822858,0.05776321097088238,0.03801202313822858,0.0002830390731629766,6.264948521251812e-06,45.178196150033486
subject_01,window34,34,60,1,stress,Task4,1980.0,2040.0,1.0,2505.75,585.75,5,1.0,5,0.828125,0.045285552331842,0.04059494080239556,0.045285552331842,,0.0,
subject_01,window35,35,60,1,stress,Task4,2040.0,2100.0,1.0,2505.75,585.75,22,1.0,22,0.7698863636363636,0.05099807690629614,0.05974197370876733,0.05099807690629614,0.0006222005525152979,0.0001492348739704403,4.169270465819808
subject_01,window36,36,60,1,stress,Task4,2100.0,2160.0,1.0,2505.75,585.75,37,1.0,37,0.8137668918918919,0.03816595786383447,0.055058266957984305,0.03816595786383447,0.00024805751469265307,9.428230996534876e-05,2.631008030921397
subject_01,window37,37,60,0,normal,Rest5,2205.75,2265.75,1.0,2505.75,585.75,6,1.0,6,0.9322916666666666,0.06029081720203243,0.09137619698258403,0.06029081720203243,1.5758097152119846e-05,5.543904480068015e-06,2.8424185894210283
subject_01,window38,38,60,0,normal,Rest5,2265.75,2325.75,1.0,2505.75,585.75,4,1.0,4,0.8046875,0.1015625,0.0897587913521567,0.1015625,,,
subject_01,window39,39,60,1,stress,Task5,2325.75,2385.75,1.0,2505.75,585.75,0,,0,,,,,,,
subject_01,window40,40,60,0,normal,Rest6,2385.75,2445.75,1.0,2505.75,585.75,24,1.0,24,0.90234375,0.054733983221311726,0.08545752822563255,0.054733983221311726,6.195244237784045e-05,0.0004544425531462896,0.1363262351840043
subject_01,window41,41,60,0,normal,Rest6,2445.75,2505.75,1.0,2505.75,585.75,36,1.0,36,0.8658854166666666,0.03689746696693946,0.05141686684764613,0.03689746696693946,0.00014459052246356674,0.00011843592799004145,1.2208332802164936
subject_02,window1,1,60,0,normal,Rest1,0.0,60.0,1.0,2355.875,435.875,4,1.0,4,0.83203125,0.05108084699461727,0.08317041365974641,0.05108084699461727,,,
